"4.  Population from registration record : by region and province, 1970, 1980, 1990, 2000 and 2003-2007",,,,,,,,,
,,,,,,,,,
Region/province,1970,1980,1990,2000,2003,2004,2005,2006,2007
,,,,,,,,,
Whole kingdom,"34,397,374","46,861,338","56,303,273","61,878,746","63,079,765","61,973,621*","62,418,054","62,828,706","63,038,247"
,,,,,,,,,
Bangkok,"3,077,361","5,153,902","5,546,937","5,680,380","5,844,607","5,634,132","5,658,953","5,695,956","5,716,248"
,,,,,,,,,
Vicinity of Bangkok,"1,452,111","2,073,877","2,991,673","3,720,098","3,970,747","4,002,409","4,126,183","4,252,436","4,348,878"
,,,,,,,,,
Nakhon Pathom,"419,319","561,346","657,182","781,138","812,404","798,016","808,961","821,905","830,970"
Nonthaburi,"269,067","386,741","668,760","859,607","924,890","942,292","972,280","999,057","1,024,191"
Pathum Thani,"233,861","324,468","452,693","654,701","739,404","769,998","815,402","861,338","896,843"
Samut Prakan,"329,404","535,858","854,883","995,838","1,045,850","1,049,416","1,077,523","1,107,626","1,126,940"
Samut Sakhon,"200,460","265,464","358,155","428,814","448,199","442,687","452,017","462,510","469,934"
,,,,,,,,,
Central,"1,963,004","2,537,664","2,833,950","2,967,201","3,008,118","2,930,332","2,942,459","2,957,143","2,963,495"
,,,,,,,,,
Chai Nat,"261,513","330,385","356,297","351,043","349,216","341,493","340,129","339,006","337,147"
Phra Nakhon Si Ayutthaya,"501,737","623,242","685,394","734,011","751,259","740,397","746,919","754,595","760,712"
Lop Buri,"463,933","655,537","747,154","761,467","768,516","749,484","751,951","752,775","749,821"
Saraburi,"353,436","470,655","535,160","607,600","625,574","595,870","601,938","609,855","615,756"
Sing Buri,"165,371","202,605","230,913","223,677","222,728","220,121","217,744","216,969","215,653"
Ang Thong,"217,014","255,240","279,032","289,403","290,825","282,967","283,778","283,943","284,406"
,,,,,,,,,
Eastern,"2,044,196","2,883,752","3,690,103","4,180,837","4,350,206","4,272,995","4,333,848","4,401,785","4,443,049"
,,,,,,,,,
Chanthaburi,"216,344","330,610","439,273","493,434","511,587","494,001","498,159","502,389","504,003"
Chachoengsao,"354,521","498,148","582,783","639,751","652,501","643,432","647,610","654,206","658,966"
Chon Buri,"541,695","725,407","910,570","1,078,518","1,157,111","1,142,985","1,172,432","1,209,290","1,233,446"
Trat,"94,119","138,185","197,155","223,924","225,021","217,950","219,135","219,949","220,543"
Nakhon Nayok,"163,036","201,230","228,981","246,881","251,877","248,592","250,779","250,003","248,496"
Prachin Buri,"423,810","631,276","877,491","444,190","453,935","445,944","449,621","453,819","454,988"
Rayong,"250,671","358,896","453,850","523,518","556,733","543,887","559,135","573,785","583,470"
Sa Kaeo,-,-,-,"530,621","541,441","536,204","536,977","538,344","539,137"
,,,,,,,,,
Western,"2,075,205","2,813,520","3,305,115","3,606,637","3,657,970","3,591,332","3,628,123","3,653,368","3,654,165"
,,,,,,,,,
Kanchanaburi,"329,054","518,927","697,750","786,001","797,339","810,265","826,169","834,447","835,282"
Prachuap Khiri Khan,"249,202","377,212","424,766","478,944","492,480","479,688","486,797","494,416","494,588"
Phetchaburi,"289,719","366,612","427,985","456,893","461,738","451,029","453,982","456,681","456,061"
Ratchaburi,"482,696","644,746","720,157","821,603","833,734","815,077","823,494","828,930","831,438"
Samut Songkhram,"162,526","196,659","206,506","204,995","203,998","195,218","195,068","194,990","194,212"
Suphan Buri,"562,008","709,364","827,951","858,201","868,681","840,055","842,613","843,904","842,584"
,,,,,,,,,
Northeastern,"12,025,140","16,087,895","19,828,941","21,404,751","21,659,698","21,267,426","21,328,111","21,376,830","21,385,647"
,,,,,,,,,
Kalasin,"571,121","755,274","894,985","983,952","994,600","971,293","973,556","975,562","977,508"
Khon Kaen,"1,048,656","1,354,855","1,681,479","1,748,218","1,770,605","1,741,749","1,747,542","1,750,500","1,752,414"
Chaiyaphum,"632,241","857,692","1,059,549","1,128,966","1,138,944","1,117,118","1,116,934","1,119,146","1,119,597"
Nakhon Phanom,"564,879","760,319","634,966","716,914","710,440","691,160","693,594","695,351","697,105"
Nakhon Ratchasima,"1,493,955","1,916,681","2,384,252","2,546,311","2,591,050","2,539,344","2,546,763","2,555,587","2,552,894"
Buri Ram,"799,613","1,132,980","1,441,517","1,528,207","1,554,009","1,524,261","1,531,430","1,536,722","1,536,070"
Maha Sarakham,"612,832","764,509","900,906","937,860","944,385","935,051","936,883","937,686","936,005"
Mukdahan,-,-,"288,151","334,325","339,074","332,563","334,113","335,447","336,107"
Yasothon,-,"458,535","527,134","553,982","552,948","541,320","541,264","540,889","539,542"
Roi Et,"785,329","1,061,085","1,228,834","1,317,787","1,322,389","1,310,250","1,310,672","1,310,047","1,308,589"
Loei,"324,684","449,535","551,892","631,408","624,087","610,472","612,422","613,303","615,538"
Si Sa Ket,"796,295","1,082,121","1,336,161","1,443,766","1,465,538","1,440,404","1,443,975","1,446,484","1,443,011"
Sakon Nakhon,"598,334","776,510","974,008","1,097,625","1,113,720","1,101,619","1,104,106","1,109,046","1,113,064"
Surin,"755,283","1,035,577","1,288,503","1,383,156","1,406,612","1,371,429","1,374,700","1,375,257","1,372,672"
Nong Khai,"443,984","673,884","879,215","903,886","913,275","895,722","896,099","899,580","902,618"
Nong Bua Lamphu,-,-,-,"494,290","500,002","494,594","496,657","496,692","497,603"
Amnat Charoen,-,-,-,"366,895","370,627","367,514","368,791","368,934","368,915"
Udon Thani,"1,113,232","1,448,066","1,825,337","1,519,857","1,542,071","1,518,502","1,523,802","1,527,562","1,530,686"
Ubon Ratchathani,"1,484,702","1,560,272","1,932,052","1,767,346","1,805,322","1,763,061","1,774,808","1,783,035","1,785,709"
,,,,,,,,,
Northern,"7,488,683","9,487,517","10,993,792","12,101,196","12,088,571","11,842,299","11,883,517","11,890,752","11,871,934"
,,,,,,,,,
Kamphaeng Phet,"339,862","559,223","668,001","765,756","774,225","726,436","728,265","728,320","725,994"
Chiang Rai,"1,111,607","922,850","1,039,388","1,259,988","1,214,913","1,214,405","1,225,058","1,225,713","1,225,013"
Chiang Mai,"1,026,450","1,166,123","1,376,120","1,590,327","1,603,220","1,630,769","1,650,009","1,658,298","1,664,399"
Tak,"217,021","276,994","353,803","490,055","498,714","515,877","522,197","527,677","530,928"
Nakhon Sawan,"758,891","976,971","1,088,213","1,125,283","1,126,739","1,077,458","1,077,808","1,076,015","1,073,683"
Nan,"310,734","378,999","449,257","486,093","482,181","477,754","478,080","477,662","477,381"
Phayao, -,"461,620","503,711","511,616","501,509","488,343","486,889","486,219","486,579"
Phichit,"440,460","534,481","558,818","593,811","597,882","560,427","558,794","557,832","554,740"
Phitsanulok,"491,886","709,073","786,509","865,995","867,356","841,524","840,970","844,508","841,683"
Phetchabun,"524,791","685,238","955,467","1,036,526","1,052,286","1,001,180","1,002,459","1,002,317","997,531"
Phrae,"365,509","446,431","493,530","489,590","482,232","473,361","471,447","468,373","465,876"
Mae Hong Son,"104,160","132,391","172,825","234,226","238,241","243,735","253,609","255,174","254,804"
Lampang,"583,378","659,433","772,635","803,442","797,216","778,926","776,726","773,790","770,613"
Lamphun,"310,836","353,607","417,565","406,127","409,041","404,780","404,727","405,564","405,157"
Sukhothai,"402,342","531,624","592,658","625,333","621,693","611,379","610,361","608,820","605,301"
Uttaradit,"323,112","432,995","460,516","483,902","481,640","469,944","469,387","467,482","465,277"
Uthai Thani,"177,644","259,464","304,776","333,126","339,483","326,001","326,731","326,988","326,975"
,,,,,,,,,
Southern,"4,271,674","5,823,211","7,112,762","8,217,646","8,499,848","8,432,696","8,516,860","8,600,436","8,654,831"
,,,,,,,,,
Krabi,"149,209","218,814","298,406","365,504","384,416","387,752","395,665","403,363","410,634"
Chumphon,"235,494","330,455","397,679","463,394","477,116","472,068","475,763","478,964","481,298"
Trang,"326,614","427,055","519,155","590,851","608,044","596,087","602,045","607,450","610,332"
Nakhon Si Thammarat,"928,520","1,261,408","1,427,001","1,524,558","1,531,072","1,500,343","1,504,420","1,510,460","1,506,997"
Narathiwat,"326,633","441,803","565,456","679,135","708,241","693,775","700,525","707,171","711,517"
Pattani,"330,217","457,760","537,542","612,127","634,619","629,861","634,376","635,730","637,806"
Phang-nga,"135,101","174,973","212,923","235,217","240,725","239,064","241,442","245,394","246,887"
Phatthalung,"304,972","412,265","460,626","503,684","504,597","498,297","500,501","503,321","502,563"
Phuket,"100,021","133,669","168,429","250,596","278,480","285,901","292,245","300,737","315,498"
Yala,"199,101","273,866","356,904","442,300","465,446","459,868","464,121","468,252","470,691"
Ranong,"59,471","83,707","117,440","160,631","163,436","176,372","178,122","179,850","180,787"
Songkhla,"621,849","849,601","1,090,083","1,232,600","1,294,442","1,281,509","1,302,421","1,317,501","1,324,915"
Satun,"117,035","164,740","222,768","263,515","273,702","273,546","277,865","281,545","284,482"
Surat Thani,"437,437","593,095","738,350","893,534","935,512","938,253","947,349","960,698","970,424"
