"Number of live births : by region and province, 1980, 1990 and 2000-2008",,,,,,,,,,,
,,,,,,,,,,,
Region/province,1980,1990,2000,2001,2002,2003,2004,2005,2006,2007,2008
,,,,,,,,,,,
Nong Bua Lamphu,-,-,"4,738","5,812","5,641","4,992","5,145","5,463","5,358","5,151","5,106"
Amnat Charoen,-,-,"3,364","4,077","3,899","3,031","3,713","3,933","3,798","3,757","3,702"
Udon Thani,"41,266","32,724","19,272","18,647","18,673","18,036","18,040","17,524","16,873","16,640","16,422"
Ubon Ratchathani,"41,468","35,049","21,771","23,228","22,749","19,965","22,611","22,035","20,872","20,832","20,837"
,,,,,,,,,,,
Northern,"189,980","162,256","114,421","118,648","116,071","111,514","119,023","117,935","114,104","114,705","111,558"
,,,,,,,,,,,
Kamphaeng Phet,"11,378","10,445","6,677","7,015","6,673","6,847","7,048","7,025","6,541","6,686","6,425"
Chiang Rai,"13,857","15,250","11,138","12,045","11,520","11,137","11,608","11,666","11,139","11,192","11,216"
Chiang Mai,"24,276","25,858","17,898","18,145","18,617","19,265","19,145","18,912","18,922","18,529","18,087"
Tak       ,"5,899","5,864","7,053","8,219","7,969","7,471","8,533","8,226","8,080","8,036","8,188"
Nakhon Sawan,"18,912","16,782","10,521","10,960","10,685","10,103","11,082","10,723","10,548","10,741","10,288"
Nan,"8,188","7,120","4,208","4,597","4,361","3,740","4,425","4,331","4,327","4,266","4,099"
Phayao,"8,084","6,887","4,211","4,193","3,938","3,687","4,087","4,005","3,852","3,851","3,629"
Phichit,"10,190","6,890","5,329","5,170","4,876","4,532","4,886","4,999","4,902","5,014","4,947"
Phitsanulok,"16,122","12,380","8,831","8,672","8,476","8,333","8,570","8,772","8,539","8,577","8,400"
Phetchabun,"19,430","13,610","9,300","9,229","9,295","8,833","9,533","9,228","8,888","9,098","8,760"
Phrae,"7,676","6,491","3,534","3,723","3,716","3,524","3,575","3,597","3,298","3,451","3,287"
Mae Hong Son,"3,881","3,191","3,327","4,076","3,615","3,008","3,798","3,776","3,680","3,526","3,365"
Lampang,"11,844","9,694","6,368","6,106","6,145","5,904","5,897","5,998","5,397","5,421","5,139"
Lamphun,"5,359","3,335","2,753","2,981","3,195","3,089","3,258","3,318","3,290","3,352","3,363"
Sukhothai,"10,233","6,620","5,529","5,461","5,214","4,943","5,572","5,441","5,190","5,306","5,039"
Uttaradit,"9,381","6,692","4,355","4,547","4,414","3,845","4,474","4,502","4,120","4,190","3,933"
Uthai Thani,"5,270","5,147","3,389","3,509","3,362","3,253","3,532","3,416","3,391","3,469","3,393"
,,,,,,,,,,,
Southern,"147,819","146,996","124,608","130,919","125,674","123,618","132,352","135,019","133,586","137,823","137,565"
,,,,,,,,,,,
Krabi,"7,226","6,595","5,458","6,034","5,863","5,665","6,852","7,183","7,038","7,351","7,384"
Chumphon,"6,759","7,028","6,199","6,281","5,934","5,229","6,343","6,403","6,111","6,370","6,311"
Trang,"12,398","11,676","7,522","8,824","8,341","7,783","8,697","9,031","9,177","9,016","8,877"
Nakhon Si Thammarat,"31,799","26,410","18,581","18,895","18,077","17,572","18,356","18,310","18,055","18,795","18,401"
Narathiwat,"10,983","12,464","12,264","13,125","11,994","12,640","13,075","13,007","12,928","13,125","13,530"
Pattani,"11,029","11,801","11,220","12,366","11,740","11,526","11,110","11,959","11,767","12,146","12,268"
Phang-nga,"4,999","4,041","2,989","3,209","2,852","2,894","3,184","3,153","3,299","3,310","3,385"
Phatthalung,"8,936","8,147","5,262","5,583","4,877","4,752","5,593","5,711","5,676","5,832","5,950"
Phuket,"3,770","4,139","5,295","5,769","6,022","6,065","6,335","6,755","6,751","7,244","7,500"
Yala,"9,030","10,355","9,379","10,078","9,846","10,095","10,240","10,213","10,171","10,265","10,177"
Ranong,"2,262","2,061","2,018","2,159","1,992","1,731","2,097","2,162","2,126","2,095","1,998"
Songhkla,"19,471","21,757","20,413","20,653","20,338","20,246","21,357","21,560","21,049","21,199","20,959"
Satun,"5,051","5,196","4,229","4,465","4,105","3,838","4,663","4,728","4,596","4,691","4,737"
Surat Thani,"14,106","15,326","13,779","13,478","13,693","13,582","14,450","14,844","14,842","16,384","16,088"
