"Number of deaths : by region and province, 1980, 1990 and 2000-2008",,,,,,,,,,,
Amnat Charoen,-,-,"1,758","1,881","1,661","1,881","1,911","1,810","1,794","1,849","1,880"
Udon Thani,"6,887","6,599","8,217","7,804","8,344","8,599","8,263","8,411","8,230","8,370","8,582"
Ubon Ratchathani,"7,376","7,904","8,475","9,016","9,522","10,139","10,362","10,359","10,007","10,147","10,627"
,,,,,,,,,,,
Northern,"54,379","53,640","85,813","85,276","87,082","85,672","86,916","85,500","84,493","84,299","85,165"
,,,,,,,,,,,
Kamphaeng Phet,"2,705","2,683","3,542","3,709","3,788","3,680","3,967","4,125","4,111","4,222","4,302"
Chiang Rai,"5,191","5,803","10,900","10,505","10,137","8,814","9,630","9,178","8,792","8,705","8,658"
Chiang Mai,"7,003","8,523","15,671","14,944","15,424","14,817","14,555","13,982","13,596","13,437","13,373"
Tak,"1,977","1,817","2,521","2,556","2,583","2,560","2,523","2,558","2,726","2,645","2,521"
Nakhon Sawan,"4,943","4,772","6,543","7,024","7,237","7,243","7,679","7,610","7,673","7,419","7,625"
Nan,"2,521","1,742","2,990","3,056","2,854","3,156","2,981","3,050","3,037","3,021","3,221"
Phayao,"2,930","2,715","4,988","4,586","4,592","4,588","4,290","3,939","3,856","3,925","3,824"
Phichit,"2,433","1,921","3,579","3,598","3,630","3,831","3,966","3,916","3,831","3,845","3,890"
Phitsanulok,"3,830","3,797","5,383","5,296","5,918","6,405","6,456","6,363","6,391","6,249","6,131"
Phetchabun,"3,536","3,291","5,181","5,210","5,430","5,485","5,406","5,586","5,579","5,775","6,152"
Phrae ,"3,106","3,110","4,404","4,477","4,483","4,242","4,469","4,252","4,151","3,978","4,201"
Mae Hong Son,778,800,"1,111","1,022","1,064","1,037","1,116","1,150","1,084","1,166","1,188"
Lampang,"4,170","4,379","6,406","6,753","6,870","6,808","6,509","6,619","6,407","6,363","6,397"
Lamphun,"2,280","2,169","3,789","3,569","3,764","3,797","3,713","3,641","3,506","3,606","3,590"
Sukhothai,"2,999","2,340","3,724","3,664","3,830","3,977","3,941","3,946","4,060","4,168","4,295"
Uttaradit,"2,612","2,435","3,182","3,382","3,630","3,464","3,593","3,554","3,603","3,558","3,603"
Uthai Thani,"1,365","1,343","1,899","1,925","1,848","1,768","2,122","2,031","2,090","2,217","2,194"
,,,,,,,,,,,
Southern,"29,509","29,828","41,901","41,129","43,861","45,592","47,980","47,397","47,674","48,671","48,047"
,,,,,,,,,,,
Krabi,"1,093",855,"1,468","1,608","1,637","1,710","1,936","1,928","1,860","1,918","1,927"
Chumphon ,"1,672","1,810","2,476","2,562","2,503","2,695","2,773","2,753","2,799","2,774","2,749"
Trang,"2,277","2,154","2,674","3,046","3,191","3,302","3,262","3,411","3,257","3,432","3,392"
Nakhon Si Thammarat,"5,791","5,437","6,928","6,764","7,465","8,035","8,132","8,278","8,250","8,158","8,203"
Narathiwat,"2,275","2,274","3,614","3,465","3,577","3,684","4,162","4,270","4,220","4,230","4,159"
Pattani,"2,337","2,136","3,519","3,376","3,351","3,454","3,632","3,483","3,622","3,745","3,684"
Phang-nga,"1,188",827,"1,115","1,139","1,106","1,212","2,001","1,231","1,198","1,385","1,270"
Phatthalung,"1,779","1,746","2,253","2,263","2,419","2,488","2,626","2,614","2,621","2,608","2,760"
Phuket,913,"1,096","1,543","1,557","1,800","1,882","1,899","1,782","1,890","1,963","1,782"
Yala,"1,563","1,427","2,173","2,142","2,346","2,279","2,480","2,480","2,644","2,705","2,772"
Ranong,426,586,580,581,698,689,866,698,719,749,719
Songkhla,"4,580","5,561","7,575","7,068","7,457","7,736","7,859","7,901","8,142","8,205","7,916"
Satun,825,805,"1,166","1,130","1,259","1,250","1,222","1,275","1,278","1,269","1,279"
Surat Thani,"2,790","3,114","4,817","4,428","5,052","5,176","5,130","5,293","5,174","5,530","5,435"
